metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
mcc,PLANKSTER,SAMJ,81,80,60.0,5.03854124107035e-14,approx(pratt),1.410791547499698e-12,80,75,4.252865905071769e-17,9.356304991157892e-16,0.4112725039314184,0.4112725039314184
mcc,PLANKSTER,SEMI,81,80,1390.0,0.20448198653214122,approx(pratt),1.0,80,33,0.1456354544029827,1.0,-0.030350884782631704,-0.030350884782631704
mcc,PLANKSTER,UNET,81,80,1051.0,0.004170132148260347,approx(pratt),0.04587145363086381,80,51,0.01831609751691632,0.1831609751691632,0.03380983624093081,0.03380983624093081
mcc,PORED2,SAMJ,81,71,897.0,0.000527005173969364,approx(pratt),0.006851067261601731,71,48,0.004065116124638666,0.05284650962030266,0.08076835418541843,0.08076835418541843
mcc,PORED2,SEMI,81,77,19.0,1.3250496213949471e-14,approx(pratt),3.9751488641848415e-13,77,2,3.975760896174872e-20,1.1132130509289642e-18,-0.30124791633400627,-0.30124791633400627
mcc,PORED2,UNET,81,80,172.0,2.4948991631316596e-12,approx(pratt),4.2413285773238215e-11,80,13,6.415141174951122e-10,1.0905739997416907e-08,-0.2521996756421491,-0.2521996756421491
mcc,SAMJ,SEMI,81,78,66.0,6.826449798080312e-14,approx(pratt),1.6383479515392747e-12,78,6,1.8493658649069896e-15,3.51379514332328e-14,-0.39532147646591587,-0.39532147646591587
mcc,SAMJ,UNET,81,80,114.0,3.421644375636997e-13,approx(pratt),6.501124313710294e-12,80,5,4.252865905071769e-17,8.931018400650715e-16,-0.3876972660889237,-0.3876972660889237
mcc,SEMI,UNET,81,80,1106.0,0.009159554874944525,approx(pratt),0.08243599387450072,80,50,0.03299261842647619,0.2969335658382857,0.051903239335848395,0.051903239335848395
precision,60%,FREEHAND,81,81,181.0,3.318086592131391e-12,approx(pratt),8.295216480328476e-11,81,68,3.8083949050165733e-10,6.855110829029832e-09,0.2808592649848459,0.2808592649848459
precision,60%,ILASTIK,81,81,308.0,1.945328086124608e-10,approx(pratt),3.5015905550242945e-09,81,6,2.91096598559025e-16,9.89728435100685e-15,-0.24090524259198964,-0.24090524259198964
